Windfarm,Year,SpikeThresholdConfig,EpsilonConfig,MaxSpikePcentConfig,NanCount,NanPcent,ZeroCount,ZeroPcent,SpikeCount,SpikeCPcent,EplisonCount,EplisonPcent,CleanMax,CleanEpsilonMaxCount,CleanEpsilonMaxPcent
Speciman,0,0.995,0.005,10,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
T_BEATO-4,2020,0.995,0.005,10,2165,12.34,0,0.01,11,0.06,170,0.97,165.398,1800,10.26
T_DDGNO-2,2020,0.995,0.005,10,1330,7.58,0,0.01,0,0.0,234,1.33,88.522,3552,20.25
T_CRGHW-1,2020,0.995,0.005,10,2003,11.42,0,0.02,28,0.16,313,1.78,46.08,107,0.61
T_CLDCW-1,2020,0.995,0.005,10,2209,12.59,0,0.01,25,0.14,243,1.39,187.52,242,1.38
T_GLWSW-1,2020,0.995,0.005,10,3623,20.65,0,0.02,40,0.23,304,1.73,55.33,399,2.27
E_DALSW-1,2020,0.995,0.005,10,2510,14.31,0,0.99,24,0.14,780,4.45,30.122,45,0.26
T_DDGNO-4,2020,0.995,0.005,10,1303,7.43,0,0.01,0,0.0,208,1.19,100.144,2864,16.33
T_GNFSW-1,2020,0.995,0.005,10,1455,8.29,0,0.01,15,0.09,266,1.52,102.92,32,0.18
E_BTUIW-2,2020,0.995,0.005,10,3660,20.86,0,0.03,25,0.14,327,1.86,41.031400000000005,36,0.21
T_GRGBW-1,2020,0.995,0.005,10,1396,7.96,0,0.01,10,0.06,189,1.08,160.886,57,0.32
T_LCLTW-1,2020,0.995,0.005,10,3194,18.21,0,0.13,12,0.07,786,4.48,69.082,31,0.18
T_WLNYO-4,2020,0.995,0.005,10,3150,17.96,0,0.01,3,0.02,222,1.27,329.1042,246,1.4
T_BLKWW-1,2020,0.995,0.005,10,2104,11.99,0,0.01,13,0.07,215,1.23,53.094,406,2.31
T_CGTHW-1,2020,0.995,0.005,10,2013,11.48,0,0.04,31,0.18,574,3.27,69.424,1148,6.54
T_COUWW-1,2020,0.995,0.005,10,3138,17.89,0,0.02,22,0.13,228,1.3,20.316,259,1.48
T_BHLAW-1,2020,0.995,0.005,10,5251,29.93,0,0.01,5,0.03,326,1.86,108.0946,161,0.92
T_RCBKO-2,2020,0.995,0.005,10,1881,10.72,0,0.01,8,0.05,167,0.95,287.022,62,0.35
E_BABAW-1,2020,0.995,0.005,10,3457,19.71,0,0.04,11,0.06,342,1.95,52.0,40,0.23
T_AKGLW-2,2020,0.995,0.005,10,1012,5.77,0,0.57,31,0.18,692,3.94,63.194,642,3.66
T_EAAO-2,2020,0.995,0.005,10,4450,25.37,0,0.01,0,0.0,562,3.2,343.024,158,0.9
