,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT001,Persistent,Persistent,0.0,1.0,1.0,0.0
2__PSTAT001,Persistent,AR Logit Default,10406.0,0.002901062352918698,0.00012703495116979632,22.83562853471261
2__PSTAT001,Persistent,AR Flx Logit,10406.0,0.0028985099751271926,0.00012163639973599364,23.828152649870965
2__PSTAT001,Persistent,RLS,10406.0,0.0016450558434211266,0.00021044641311546792,7.816606486892481
2__PSTAT001,Persistent,sRLS,10406.0,0.0027807514979206636,0.00012511011873043854,22.225363623955527
2__PSTAT001,Persistent,RMLE,10405.0,0.0029025369205916626,0.00012159786551626771,23.868818970886785
2__PSTAT001,Persistent,sRMLE,10405.0,0.0028998179170846784,0.00012164417282332347,23.83738159509043
2__PSTAT001,Persistent,Bayes,10406.0,0.0030257433492083727,0.00012058218291378361,25.091583914395557
2__PSTAT001,Persistent,Ada Bayes,10405.0,0.003187660358007111,0.00011888244129408827,26.812262100042172
2__PSTAT001,AR Logit Default,Persistent,10406.0,-0.002901062352918698,0.00012703495116979632,-22.83562853471261
2__PSTAT001,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
2__PSTAT001,AR Logit Default,AR Flx Logit,10406.0,-2.552377791505059e-06,1.2092260436247497e-05,-0.211065181923475
2__PSTAT001,AR Logit Default,RLS,10406.0,-0.0012560065094975714,0.0001694638677959781,-7.411291706437787
2__PSTAT001,AR Logit Default,sRLS,10406.0,-0.00012031085499803436,3.2447063283737825e-05,-3.7077338237532826
2__PSTAT001,AR Logit Default,RMLE,10405.0,7.881287768241815e-07,1.2152045987992768e-05,0.06485252805121274
2__PSTAT001,AR Logit Default,sRMLE,10405.0,-1.9308747301594595e-06,1.2103375733859701e-05,-0.15952425046362426
2__PSTAT001,AR Logit Default,Bayes,10406.0,0.00012468099628967506,1.4783545923416206e-05,8.433362737818868
2__PSTAT001,AR Logit Default,Ada Bayes,10405.0,0.00028591156619227337,1.9319376798246185e-05,14.798501509904382
2__PSTAT001,AR Flx Logit,Persistent,10406.0,-0.0028985099751271926,0.00012163639973599364,-23.828152649870965
2__PSTAT001,AR Flx Logit,AR Logit Default,10406.0,2.552377791505059e-06,1.2092260436247497e-05,0.211065181923475
2__PSTAT001,AR Flx Logit,AR Flx Logit,0.0,1.0,1.0,0.0
2__PSTAT001,AR Flx Logit,RLS,10406.0,-0.0012534541317060662,0.0001695091299980043,-7.39425600734967
2__PSTAT001,AR Flx Logit,sRLS,10406.0,-0.00011775847720652932,3.26506561346882e-05,-3.6064457138009627
2__PSTAT001,AR Flx Logit,RMLE,10405.0,3.3298691361538846e-06,1.783349047014548e-07,18.671101571235923
2__PSTAT001,AR Flx Logit,sRMLE,10405.0,6.108656291702464e-07,2.237188126662399e-07,2.7303750934407076
2__PSTAT001,AR Flx Logit,Bayes,10406.0,0.0001272333740811801,7.458101448884557e-06,17.05893401211955
2__PSTAT001,AR Flx Logit,Ada Bayes,10405.0,0.0002884533065516031,1.479082855435053e-05,19.501236450373078
2__PSTAT001,RLS,Persistent,10406.0,-0.0016450558434211266,0.00021044641311546792,-7.816606486892481
2__PSTAT001,RLS,AR Logit Default,10406.0,0.0012560065094975714,0.0001694638677959781,7.411291706437787
