,,CRPS,Skill_Avg
2__PSTAT001,Persistent,0.04541518730246106,0.0
2__PSTAT001,AR Logit Default,0.0442853262225124,0.024878485525643406
2__PSTAT001,AR Flx Logit,0.04434752417378138,0.023508944740646805
2__PSTAT001,RLS,0.04544245101701298,-0.0006003215261527005
2__PSTAT001,sRLS,0.04444492830695414,0.021364196717831064
2__PSTAT001,RMLE,0.044348978484934166,0.023476922167600844
2__PSTAT001,sRMLE,0.04434906344157975,0.02347505150162691
2__PSTAT001,Bayes,0.044250219388766,0.02565150520984266
2__PSTAT001,Ada Bayes,0.04401627613517443,0.03080271711685365
2__PSTAT002,Persistent,0.04234854567549291,0.0
2__PSTAT002,AR Logit Default,0.041163567361877304,0.02798155862767574
2__PSTAT002,AR Flx Logit,0.04116177908776994,0.028023786148806396
2__PSTAT002,RLS,0.04216266033832646,0.00438941489492573
2__PSTAT002,sRLS,0.04098645874508852,0.03216372389365498
2__PSTAT002,RMLE,0.04116333412049976,0.02798706628735625
2__PSTAT002,sRMLE,0.041163065210129114,0.027993416219009283
2__PSTAT002,Bayes,0.040905576405828335,0.03407364400944761
2__PSTAT002,Ada Bayes,0.04055533597198482,0.042344068135162095
E_ABRTW-1,Persistent,0.03779178218077295,0.0
E_ABRTW-1,AR Logit Default,0.03722496565184485,0.014998406960984116
E_ABRTW-1,AR Flx Logit,0.03724872074479183,0.014369828694064769
E_ABRTW-1,RLS,0.038431307610706386,-0.016922341128934763
E_ABRTW-1,sRLS,0.03713452234412353,0.017391607347477942
E_ABRTW-1,RMLE,0.037247961943587815,0.014389907165103438
E_ABRTW-1,sRMLE,0.037249950697868565,0.014337283177400573
E_ABRTW-1,Bayes,0.037134022556588035,0.017404832115050572
E_ABRTW-1,Ada Bayes,0.036826027933980564,0.02555460978719665
E_ASHWW-1,Persistent,0.043570820179255995,-3.1851105282662675e-16
E_ASHWW-1,AR Logit Default,0.044192422254279586,-0.014266476335911351
E_ASHWW-1,AR Flx Logit,0.04370073948264912,-0.002981796139219583
E_ASHWW-1,RLS,0.04541326319367799,-0.04228616782612682
E_ASHWW-1,sRLS,0.04370712178752675,-0.003128277312889752
E_ASHWW-1,RMLE,0.04369957011869759,-0.00295495790329196
E_ASHWW-1,sRMLE,0.04369907383190195,-0.0029435675554950478
E_ASHWW-1,Bayes,0.043629786963432664,-0.0013533549273134068
E_ASHWW-1,Ada Bayes,0.043152870227190214,0.009592427921858418
E_BABAW-1,Persistent,0.04426329444258835,0.0
E_BABAW-1,AR Logit Default,0.04399199687957029,0.006129176927170336
E_BABAW-1,AR Flx Logit,0.04397571727991169,0.006496966985809486
E_BABAW-1,RLS,0.04529021389890683,-0.0232002490833673
E_BABAW-1,sRLS,0.04403412532777238,0.005177407549571667
E_BABAW-1,RMLE,0.043974417756465774,0.006526325926717067
E_BABAW-1,sRMLE,0.04397621679386172,0.006485681925437911
E_BABAW-1,Bayes,0.043921515985901306,0.0077214870919819715
E_BABAW-1,Ada Bayes,0.04362053125064598,0.014521359063683443
E_BETHW-1,Persistent,0.048626156717077346,0.0
E_BETHW-1,AR Logit Default,0.04837376847988468,0.005190380121158734
E_BETHW-1,AR Flx Logit,0.04829319324646391,0.006847414911910981
E_BETHW-1,RLS,0.05045596883391899,-0.03763020235154681
E_BETHW-1,sRLS,0.048272931778164975,0.007264093293811954
E_BETHW-1,RMLE,0.048281236588258884,0.00709330434698588
E_BETHW-1,sRMLE,0.04829439202312705,0.006822761993727207
E_BETHW-1,Bayes,0.04816234955816825,0.009538223668542784
E_BETHW-1,Ada Bayes,0.04801112764468537,0.012648111919895599
E_BNWKW-1,Persistent,0.05548830873951485,0.0
E_BNWKW-1,AR Logit Default,0.05294451175076877,0.04584383713491283
E_BNWKW-1,AR Flx Logit,0.05301793008478934,0.04452070554758651
E_BNWKW-1,RLS,0.054943275807912306,0.009822482320756193
E_BNWKW-1,sRLS,0.053384421194780554,0.037915870793806664
E_BNWKW-1,RMLE,0.0530195971792,0.04449066148157465
E_BNWKW-1,sRMLE,0.053020434066294746,0.04447557925770155
E_BNWKW-1,Bayes,0.05293836585080507,0.0459545974032164
E_BNWKW-1,Ada Bayes,0.05260589595050031,0.05194630823126695
E_BRDUW-1,Persistent,0.03845636521716785,0.0
E_BRDUW-1,AR Logit Default,0.03724547071303397,0.031487492312282074
E_BRDUW-1,AR Flx Logit,0.03723533294750694,0.03175110967366768
E_BRDUW-1,RLS,0.038308107009635425,0.003855231941323488
E_BRDUW-1,sRLS,0.037228326257018836,0.03193330813284429
E_BRDUW-1,RMLE,0.03721730761268596,0.0322198314241291
E_BRDUW-1,sRMLE,0.03721657871380314,0.03223878534446724
E_BRDUW-1,Bayes,0.03710293510548769,0.03519391663869358
E_BRDUW-1,Ada Bayes,0.03686875811114689,0.04128333754517742
E_BRYBW-1,Persistent,0.03396744294062342,2.0428072598919847e-16
E_BRYBW-1,AR Logit Default,0.0321707923653312,0.05289331252967293
E_BRYBW-1,AR Flx Logit,0.03209124858241127,0.05523507793894962
E_BRYBW-1,RLS,0.035627905102457544,-0.0488839317324144
E_BRYBW-1,sRLS,0.03198013605439017,0.058506225791183454
E_BRYBW-1,RMLE,0.032094876415175166,0.05512827470473972
E_BRYBW-1,sRMLE,0.03209299364462476,0.05518370338548267
E_BRYBW-1,Bayes,0.03192464056627754,0.060140010477585604
E_BRYBW-1,Ada Bayes,0.031829705008352235,0.06293490905418023
E_BTUIW-2,Persistent,0.038286869588992585,1.8123429725114294e-16
E_BTUIW-2,AR Logit Default,0.03758429939134046,0.01835016038642444
E_BTUIW-2,AR Flx Logit,0.03762163554920319,0.017374991659821027
E_BTUIW-2,RLS,0.040080595137292375,-0.046849626714205866
E_BTUIW-2,sRLS,0.037504609600922965,0.020431547328552683
E_BTUIW-2,RMLE,0.03761444574382239,0.017562779417294637
E_BTUIW-2,sRMLE,0.03762070081562475,0.017399405606128897
E_BTUIW-2,Bayes,0.037639954659708874,0.016896521868418952
E_BTUIW-2,Ada Bayes,0.03739707976606726,0.023240077668328023
E_BURBO,Persistent,0.04088203035146722,0.0
E_BURBO,AR Logit Default,0.03931780955608751,0.03826181777010429
E_BURBO,AR Flx Logit,0.03887065281414222,0.04919955100157639
E_BURBO,RLS,0.039902568646043524,0.023958245150819606
E_BURBO,sRLS,0.039213365479367816,0.0408165851293029
E_BURBO,RMLE,0.03887093284990157,0.0491927011519739
E_BURBO,sRMLE,0.03887080012516621,0.04919594768190944
E_BURBO,Bayes,0.03869505310610966,0.05349482955117153
E_BURBO,Ada Bayes,0.03838143312032328,0.06116617031116215
E_CLDRW-1,Persistent,0.04421879430379376,0.0
E_CLDRW-1,AR Logit Default,0.043552813135886145,0.01506104312415584
E_CLDRW-1,AR Flx Logit,0.043539428567094515,0.015363732715818491
E_CLDRW-1,RLS,0.0451181245528932,-0.020338190203035025
E_CLDRW-1,sRLS,0.043248622948960716,0.021940248939573817
E_CLDRW-1,RMLE,0.043536753997846775,0.01542421761347005
E_CLDRW-1,sRMLE,0.04353705638015922,0.015417379292407545
E_CLDRW-1,Bayes,0.043197800313470765,0.023089593608286118
E_CLDRW-1,Ada Bayes,0.04283479255378847,0.031298948146276095
E_CLFLW-1,Persistent,0.03071996813559366,-2.2587568689133787e-16
E_CLFLW-1,AR Logit Default,0.03158049310223291,-0.028011909479886795
E_CLFLW-1,AR Flx Logit,0.031072102721297318,-0.011462726268119491
E_CLFLW-1,RLS,0.03132479492906347,-0.019688392605102724
